group,independance,T1,lineshape,alpha,beta,,
1,1,0,g,0,1307,,
2,1,0,g,0,2325,,
group,symmetry,spin,"chem shift",,,,
1,1.33,0.5,2.08,0,,,
2,0.33,0.5,2.25,0,0,,
1,0.33,0.5,1.95,0,0,0,
2,0.4,0.5,3,0,0,0,0
