group,independance,T1,lineshape,alpha,beta,,
1,1,0,l,2.5,0,,
2,1,0,l,2.5,0,,
group,symmetry,spin,"chem shift",,,,
1,1,0.5,3.4206,0,,,
1,1,0.5,3.4206,-12.438,0,,
2,1,0.5,3.2459,6.742,6.403,0,
2,1,0.5,3.2459,6.464,6.792,-12.93,0
