group,independance,T1,lineshape,alpha,beta,,,
1,1,0,l,2.5,0,,,
2,2,0,l,2.5,0,,,
3,2,0,l,2.5,0,,,
4,2,0,l,2.5,0,,,
5,2,0,l,2.5,0,,,
group,symmetry,spin,"chem shift",,,,,
1,1,0.5,3.7433,0,,,,
2,1,0.5,2.0375,7.331,0,,,
3,1,0.5,2.12,4.651,-14.849,0,,
4,1,0.5,2.3378,0,6.413,8.478,0,
5,1,0.5,2.352,0,8.406,6.875,-15.915,0
