group,independance,T1,lineshape,alpha,beta,,,
1,1,0,l,3,0,,,
2,2,0,l,3,0,,,
3,2,0,l,3,0,,,
4,2,0,l,3,0,,,
5,2,0,l,3,0,,,
group,symmetry,spin,"chem shift",,,,,
1,1,0.5,3.753,0,,,,
2,1,0.5,2.136,5.847,0,,,
3,1,0.5,2.118,6.5,-14.504,0,,
4,1,0.5,2.435,0,9.165,6.324,0,
5,1,0.5,2.457,0,6.347,9.209,-15.371,0
