group,independance,T1,lineshape,alpha,beta,,,,
1,1,0,l,3,0,,,,
2,2,0,l,3,0,,,,
3,3,0,l,3,0,,,,
4,4,0,l,3,0,,,,
group,symmetry,spin,"chem shift",,,,,,
1,1,0.5,3.5217,0,,,,,
2,1,0.5,4.036,2.889,0,,,,
1,1,0.5,3.5217,0,3.006,0,,,
3,1,0.5,3.6144,0,0,9.997,0,,
4,1,0.5,3.269,0,0,0,9.485,0,
3,1,0.5,3.6144,9.998,0,0,0,9.482,0
