group,independance,T1,lineshape,alpha,beta,,,
1,1,0,l,3,0,,,
2,2,0,l,3,0,,,
3,2,0,l,3,0,,,
4,2,0,l,3,0,,,
5,2,0,l,3,0,,,
group,symmetry,spin,"chem shift",,,,,
1,1,0.5,3.7433,0,,,,
2,1,0.5,2.0635,7.331,0,,,
3,1,0.5,2.13,4.651,-14.849,0,,
4,1,0.5,2.3848,0,6.413,8.478,0,
5,1,0.5,2.402,0,8.406,6.875,-15.915,0
