group,independance,T1,lineshape,alpha,beta,
1,1,0,l,3,0,
2,2,0,l,3,0,
3,3,0,l,3,0,
group,symmetry,spin,"chem shift",,,
1,1,0.5,3.8914,0,,
2,1,0.5,2.8011,3.647,0,
3,1,0.5,2.6533,9.107,-17.426,0
