group,independance,T1,lineshape,alpha,beta,,,
1,1,0,l,2.5,0,,,
2,2,0,l,2.5,0,,,
3,2,0,l,2.5,0,,,
4,2,0,l,2.5,0,,,
5,2,0,l,2.5,0,,,
group,symmetry,spin,"chem shift",,,,,
1,1,0.5,3.753,0,,,,
2,1,0.5,2.129,5.847,0,,,
3,1,0.5,2.19,6.5,-14.504,0,,
4,1,0.5,2.432,0,9.165,6.324,0,
5,1,0.5,2.454,0,6.347,9.209,-15.371,0
