group,independance,T1,lineshape,alpha,beta,
1,1,0,l,2.5,0,
2,2,0,l,2.5,0,
3,3,0,l,2.5,0,
4,3,0,l,2.5,0,
group,symmetry,spin,"chem shift",,,
1,3,0.5,2.008,0,,
group,symmetry,spin,"chem shift",,,
2,0,0.5,4.3817,0,,
3,1,0.5,2.6727,3.861,0,
4,1,0.5,2.4863,9.821,-15.592,0
