group,independance,T1,lineshape,alpha,beta,,,,
1,1,0,l,2.5,0,,,,
2,2,0,l,2.5,0,,,,
3,3,0,l,2.5,0,,,,
group,symmetry,spin,"chem shift",,,,,,
1,1,0.5,3.0128,0,,,,,
1,1,0.5,3.0128,0,0,,,,
2,1,0.5,1.889,5.372,10.578,0,,,
2,1,0.5,1.889,7.127,6.982,0,0,,
3,1,0.5,2.284,0,0,7.755,6.173,0,
3,1,0.5,2.284,0,0,7.432,7.933,0,0
