group,independance,T1,lineshape,alpha,beta,,
1,1,0,l,6,0,,
2,1,0,l,6,0,,
group,symmetry,spin,"chem shift",,,,
1,1,0.5,3.42,0,,,
1,1,0.5,3.42,0,0,,
2,1,0.5,3.25,6.74,6.4,0,
2,1,0.5,3.25,6.46,6.79,0,0
