group,independance,T1,lineshape,alpha,beta,,
1,1,0,l,5,0,,
2,2,0,l,5,0,,
group,symmetry,spin,"chem shift",,,,
1,1,0.5,3.77,0,,,
2,1,0.5,1.47,7.23,0,,
2,1,0.5,1.47,7.23,-14.37,0,
2,1,0.5,1.47,7.23,-14.37,-14.37,0
