group,independance,T1,lineshape,alpha,beta,,,
1,1,0,l,5,0,,,
2,2,0,l,5,0,,,
3,2,0,l,5,0,,,
4,2,0,l,5,0,,,
5,2,0,l,5,0,,,
group,symmetry,spin,"chem shift",,,,,
1,1,0.5,3.74,0,,,,
2,1,0.5,2.06,7.33,0,,,
3,1,0.5,2.13,4.65,-14.85,0,,
4,1,0.5,2.38,0,6.41,8.48,0,
5,1,0.5,2.4,0,8.41,6.88,-15.92,0
