group,independance,T1,lineshape,alpha,beta,,,
1,1,0,l,5,0,,,
2,2,0,l,5,0,,,
3,2,0,l,5,0,,,
4,2,0,l,5,0,,,
5,2,0,l,5,0,,,
group,symmetry,spin,"chem shift",,,,,
1,1,0.5,3.75,0,,,,
2,1,0.5,2.14,5.85,0,,,
3,1,0.5,2.12,6.5,-14.5,0,,
4,1,0.5,2.44,0,9.17,6.32,0,
5,1,0.5,2.46,0,6.35,9.21,-15.37,0
