group,independance,T1,lineshape,alpha,beta,,,
1,1,0,l,2.5,0,,,
2,2,0,l,2.5,0,,,
3,3,0,l,2.5,0,,,
4,4,0,l,2.5,0,,,
5,5,0,l,2.5,0,,,
6,6,0,l,2.5,0,,,
group,symmetry,spin,"chem shift",,,,,
1,2,0.5,3.776,0,,,,
group,symmetry,spin,"chem shift",,,,,
2,1,0.5,4.578,0,,,,
3,1,0.5,2.94648,7.09,0,,,
3,1,0.5,2.97148,4.71,-14.06,0,,
group,symmetry,spin,"chem shift",,,,,
4,1,0.5,3.776,0,,,,
5,1,0.5,2.1714,6.34,0,,,
5,1,0.5,2.1584,6.36,-15.48,0,,
6,1,0.5,2.5665,0,6.7,7.6,0,
6,1,0.5,2.5415,0,7.6,6.7,-15.92,0
