group,independance,T1,lineshape,alpha,beta,,
1,1,0,l,2.5,0,,
2,2,0,l,2.5,0,,
group,symmetry,spin,"chem shift",,,,
1,1,0.5,3.348,0,,,
1,1,0.5,3.348,-12.438,0,,
2,1,0.5,2.647,7.042,6.703,0,
2,1,0.5,2.647,6.764,7.092,-12.93,0
