group,independance,T1,lineshape,alpha,beta,,,
1,1,0,l,2.5,0,,,
2,2,0,l,2.5,0,,,
3,2,0,l,2.5,0,,,
group,symmetry,spin,"chem shift",,,,,
1,1,0.5,3.755,0,,,,
2,1,0.5,2.06,7.331,0,,,
2,1,0.5,2.125,4.651,-14.849,0,,
3,1,0.5,2.333,0,6.413,8.478,0,
3,1,0.5,2.358,0,8.406,6.875,-15.915,0
