group,independance,T1,lineshape,alpha,beta,,
1,1,0,l,2.5,0,,
2,2,0,l,2.5,0,,
group,symmetry,spin,chem shift,,,,
1,1,0.5,3.7636,0,,,
2,1,0.5,1.477,7.234,0,,
2,1,0.5,1.477,7.234,-14.366,0,
2,1,0.5,1.477,7.234,-14.366,-14.366,0
