group,independance,T1,lineshape,alpha,beta,,,
1,1,0,l,2.5,0,,,
2,2,0,l,2.5,0,,,
3,2,0,l,2.5,0,,,
group,symmetry,spin,"chem shift",,,,,
1,1,0.5,3.773,0,,,,
2,1,0.5,2.1373,5.847,0,,,
2,1,0.5,2.1355,6.5,-14.504,0,,
3,1,0.5,2.4602,0,9.165,6.324,0,
3,1,0.5,2.4307,0,6.347,9.209,-15.371,0
