group,independance,T1,lineshape,alpha,beta,
1,1,0,l,2.5,0,
2,2,0,l,2.5,0,
3,3,0,l,2.5,0,
group,symmetry,spin,"chem shift",,,
1,1,0.5,3.899,0,,
2,1,0.5,2.752,3.647,0,
3,1,0.5,2.703,9.107,-17.426,0
