group,independance,T1,lineshape,alpha,beta
1,1,0,l,113.63,0
2,1,0,l,100.88,0
group,symmetry,spin,"chem shift",,
1,0.67,0.5,0.9491,0,
group,symmetry,spin,"chem shift",,
2,0.33,0.5,0.878,0,
