group,independance,T1,lineshape,alpha,beta
1,1,0,l,34.68,0
2,1,0,l,0,846.3
3,1,0,l,0,6866.36
group,symmetry,spin,"chem shift",,
1,0.49,0.5,1.286,0,
group,symmetry,spin,"chem shift",,
2,0.16,0.5,1.299,0,
group,symmetry,spin,"chem shift",,
3,0.35,0.5,1.317,0,
